Name,StockID
ACC,ACC
ADANI ENTERPRISES,ADANIENT
ADANI PORTS,ADANIPORTS
AMARA RAJA,AMARAJABAT
AMBUJA CEMENTS,AMBUJACEM
APOLLO HOSPITALS,APOLLOHOSP
APOLLO TYRES,APOLLOTYRE
ASHOK LEYLAND,ASHOKLEY
ASIAN PAINTS,ASIANPAINT
AUROBINDO PHARMA,AUROPHARMA
AXIS BANK,AXISBANK
BAJAJ AUTO,BAJAJ-AUTO
BAJAJ FINSERV,BAJAJFINSV
BAJAJ FINANCE,BAJFINANCE
BALKRISHNA INDUSTRIES,BALKRISIND
BANDHAN BANK,BANDHANBNK
BANK OF BARODA,BANKBARODA
BATA INDIA,BATAINDIA
BEL,BEL
BERGER PAINTS,BERGEPAINT
BHARAT FORGE,BHARATFORG
BHARTI AIRTEL,BHARTIARTL
BHEL,BHEL
BIOCON,BIOCON
BOSCH,BOSCHLTD
BPCL,BPCL
BRITANNIA,BRITANNIA
CADILA,CADILAHC
CANARA BANK,CANBK
CENTURY TEXTILES,CENTURYTEX
CHOLAMANDALAM,CHOLAFIN
CIPLA,CIPLA
COAL INDIA,COALINDIA
COLGATE,COLPAL
CONCOR,CONCOR
CUMMINS INDIA,CUMMINSIND
DABUR,DABUR
DIVIS LAB,DIVISLAB
DLF,DLF
DR REDDYS,DRREDDY
EICHER MOTORS,EICHERMOT
EQUITAS,EQUITAS
ESCORTS,ESCORTS
EXIDE,EXIDEIND
FEDERAL BANK,FEDERALBNK
GAIL,GAIL
GLENMARK,GLENMARK
GMR INFRA,GMRINFRA
GODREJ CONSUMER,GODREJCP
GODREJ PROPERTIES,GODREJPROP
GRASIM,GRASIM
HAVELLS,HAVELLS
HCL TECH,HCLTECH
HDFC,HDFC
HDFC BANK,HDFCBANK
HDFC STANDARD LIFE INSURANCE,HDFCLIFE
HERO,HEROMOTOCO
HINDALCO,HINDALCO
HPCL,HINDPETRO
HUL,HINDUNILVR
INDIABULLS HOUSING FINANCE,IBULHSGFIN
ICICI BANK,ICICIBANK
ICICI PRUDENTIAL,ICICIPRULI
IDEA,IDEA
IDFC FIRST BANK,IDFCFIRSTB
IGL,IGL
INDIGO,INDIGO
INDUSIND BANK,INDUSINDBK
BHARTI INFRATEL,INFRATEL
INFOSYS,INFY
IOC,IOC
ITC,ITC
JINDAL STEEL,JINDALSTEL
JSW STEEL,JSWSTEEL
JUBILANT FOOD,JUBLFOOD
KOTAK BANK,KOTAKBANK
LT FINANCE,L&TFH
LIC HOUSING,LICHSGFIN
LT,LT
LUPIN,LUPIN
MAHINDRA,M&M
MAHINDRA FINANCE,M&MFIN
MANAPPURAM,MANAPPURAM
MARICO,MARICO
MARUTI,MARUTI
UNITED SPIRITS,MCDOWELL-N
MAX FINANCIAL SERVICES,MFSL
MAHANAGAR GAS,MGL
MINDTREE,MINDTREE
MOTHERSON SUMI,MOTHERSUMI
MRF,MRF
MUTHOOT FINANCE,MUTHOOTFIN
NALCO,NATIONALUM
INFO EDGE,NAUKRI
NESTLE INDIA,NESTLEIND
COFORGE LIMITED,COFORGE
NMDC,NMDC
NTPC,NTPC
ONGC,ONGC
PAGE INDUSTRIES,PAGEIND
PIRAMAL ENTERPRISES,PEL
PETRONET,PETRONET
PFC,PFC
PIDILITE,PIDILITIND
PNB,PNB
POWER GRID,POWERGRID
PVR,PVR
RAMCO CEMENT,RAMCOCEM
RBL BANK,RBLBANK
REC,RECLTD
RELIANCE,RELIANCE
SAIL,SAIL
SBI LIFE INSURANCE,SBILIFE
SBI,SBIN
SHREE CEMENT,SHREECEM
SIEMENS INDIA,SIEMENS
SRF,SRF
SHRIRAM TRANSPORT,SRTRANSFIN
SUN PHARMA,SUNPHARMA
SUN TV,SUNTV
TATA CHEMICALS,TATACHEM
TATA CONSUMER PRODUCTS,TATACONSUM
TATA MOTORS,TATAMOTORS
TATA POWER,TATAPOWER
TATA STEEL,TATASTEEL
TCS,TCS
TECH MAHINDRA,TECHM
TITAN,TITAN
TORRENT PHARMA,TORNTPHARM
TORRENT POWER,TORNTPOWER
TVS MOTOR,TVSMOTOR
UBL,UBL
UJJIVAN,UJJIVAN
ULTRATECH CEMENT,ULTRACEMCO
UPL,UPL
VEDANTA INDIA,VEDL
VOLTAS,VOLTAS
WIPRO,WIPRO
ZEE ENTERTAINMENT,ZEEL
